Potential Energy , -256.351 , Kinetic Energy , 86.7245 , Total Energy , -169.626, Delta Energy , -5.5887e-05, Time , 25
Potential Energy , -256.339 , Kinetic Energy , 86.7127 , Total Energy , -169.626, Delta Energy , -5.61532e-05, Time , 25.5
Potential Energy , -256.327 , Kinetic Energy , 86.7009 , Total Energy , -169.626, Delta Energy , -5.64108e-05, Time , 26
Potential Energy , -256.315 , Kinetic Energy , 86.6889 , Total Energy , -169.626, Delta Energy , -5.66614e-05, Time , 26.5
Potential Energy , -256.303 , Kinetic Energy , 86.6768 , Total Energy , -169.626, Delta Energy , -5.69065e-05, Time , 27
Potential Energy , -256.291 , Kinetic Energy , 86.6646 , Total Energy , -169.626, Delta Energy , -5.71478e-05, Time , 27.5
Potential Energy , -256.279 , Kinetic Energy , 86.6523 , Total Energy , -169.626, Delta Energy , -5.73864e-05, Time , 28
Potential Energy , -256.266 , Kinetic Energy , 86.6398 , Total Energy , -169.626, Delta Energy , -5.76239e-05, Time , 28.5
Potential Energy , -256.254 , Kinetic Energy , 86.6272 , Total Energy , -169.626, Delta Energy , -5.78612e-05, Time , 29
Potential Energy , -256.241 , Kinetic Energy , 86.6145 , Total Energy , -169.626, Delta Energy , -5.80996e-05, Time , 29.5
Potential Energy , -256.228 , Kinetic Energy , 86.6017 , Total Energy , -169.626, Delta Energy , -5.834e-05, Time , 30
Potential Energy , -256.215 , Kinetic Energy , 86.5887 , Total Energy , -169.626, Delta Energy , -5.85833e-05, Time , 30.5
Potential Energy , -256.202 , Kinetic Energy , 86.5756 , Total Energy , -169.626, Delta Energy , -5.88302e-05, Time , 31
Potential Energy , -256.189 , Kinetic Energy , 86.5624 , Total Energy , -169.626, Delta Energy , -5.90816e-05, Time , 31.5
Potential Energy , -256.175 , Kinetic Energy , 86.5491 , Total Energy , -169.626, Delta Energy , -5.9338e-05, Time , 32
Potential Energy , -256.162 , Kinetic Energy , 86.5356 , Total Energy , -169.626, Delta Energy , -5.95999e-05, Time , 32.5
Potential Energy , -256.148 , Kinetic Energy , 86.522 , Total Energy , -169.626, Delta Energy , -5.98678e-05, Time , 33
Potential Energy , -256.135 , Kinetic Energy , 86.5083 , Total Energy , -169.626, Delta Energy , -6.01419e-05, Time , 33.5
Potential Energy , -256.121 , Kinetic Energy , 86.4945 , Total Energy , -169.626, Delta Energy , -6.04226e-05, Time , 34
Potential Energy , -256.107 , Kinetic Energy , 86.4806 , Total Energy , -169.626, Delta Energy , -6.07099e-05, Time , 34.5
Potential Energy , -256.093 , Kinetic Energy , 86.4666 , Total Energy , -169.626, Delta Energy , -6.10041e-05, Time , 35
Potential Energy , -256.079 , Kinetic Energy , 86.4524 , Total Energy , -169.626, Delta Energy , -6.1305e-05, Time , 35.5
Potential Energy , -256.065 , Kinetic Energy , 86.4381 , Total Energy , -169.626, Delta Energy , -6.16127e-05, Time , 36
Potential Energy , -256.05 , Kinetic Energy , 86.4238 , Total Energy , -169.626, Delta Energy , -6.1927e-05, Time , 36.5
Potential Energy , -256.036 , Kinetic Energy , 86.4093 , Total Energy , -169.626, Delta Energy , -6.22477e-05, Time , 37
Potential Energy , -256.021 , Kinetic Energy , 86.3947 , Total Energy , -169.626, Delta Energy , -6.25746e-05, Time , 37.5
Potential Energy , -256.006 , Kinetic Energy , 86.38 , Total Energy , -169.626, Delta Energy , -6.29074e-05, Time , 38
Potential Energy , -255.992 , Kinetic Energy , 86.3652 , Total Energy , -169.626, Delta Energy , -6.32458e-05, Time , 38.5
Potential Energy , -255.977 , Kinetic Energy , 86.3503 , Total Energy , -169.626, Delta Energy , -6.35894e-05, Time , 39
Potential Energy , -255.962 , Kinetic Energy , 86.3354 , Total Energy , -169.626, Delta Energy , -6.39377e-05, Time , 39.5
Potential Energy , -255.947 , Kinetic Energy , 86.3203 , Total Energy , -169.626, Delta Energy , -6.42905e-05, Time , 40
Potential Energy , -255.932 , Kinetic Energy , 86.3052 , Total Energy , -169.626, Delta Energy , -6.46472e-05, Time , 40.5
Potential Energy , -255.916 , Kinetic Energy , 86.2899 , Total Energy , -169.626, Delta Energy , -6.50073e-05, Time , 41
Potential Energy , -255.901 , Kinetic Energy , 86.2746 , Total Energy , -169.626, Delta Energy , -6.53703e-05, Time , 41.5
Potential Energy , -255.886 , Kinetic Energy , 86.2593 , Total Energy , -169.626, Delta Energy , -6.57359e-05, Time , 42
Potential Energy , -255.87 , Kinetic Energy , 86.2438 , Total Energy , -169.626, Delta Energy , -6.61034e-05, Time , 42.5
Potential Energy , -255.855 , Kinetic Energy , 86.2283 , Total Energy , -169.626, Delta Energy , -6.64724e-05, Time , 43
Potential Energy , -255.839 , Kinetic Energy , 86.2127 , Total Energy , -169.626, Delta Energy , -6.68424e-05, Time , 43.5
Potential Energy , -255.824 , Kinetic Energy , 86.1971 , Total Energy , -169.626, Delta Energy , -6.7213e-05, Time , 44
Potential Energy , -255.808 , Kinetic Energy , 86.1814 , Total Energy , -169.626, Delta Energy , -6.75836e-05, Time , 44.5
Potential Energy , -255.792 , Kinetic Energy , 86.1657 , Total Energy , -169.626, Delta Energy , -6.79537e-05, Time , 45
Potential Energy , -255.776 , Kinetic Energy , 86.1499 , Total Energy , -169.626, Delta Energy , -6.8323e-05, Time , 45.5
Potential Energy , -255.76 , Kinetic Energy , 86.1341 , Total Energy , -169.626, Delta Energy , -6.8691e-05, Time , 46
Potential Energy , -255.745 , Kinetic Energy , 86.1182 , Total Energy , -169.626, Delta Energy , -6.90573e-05, Time , 46.5
Potential Energy , -255.729 , Kinetic Energy , 86.1023 , Total Energy , -169.626, Delta Energy , -6.94214e-05, Time , 47
Potential Energy , -255.713 , Kinetic Energy , 86.0864 , Total Energy , -169.626, Delta Energy , -6.9783e-05, Time , 47.5
Potential Energy , -255.697 , Kinetic Energy , 86.0704 , Total Energy , -169.626, Delta Energy , -7.01418e-05, Time , 48
Potential Energy , -255.681 , Kinetic Energy , 86.0544 , Total Energy , -169.626, Delta Energy , -7.04972e-05, Time , 48.5
Potential Energy , -255.665 , Kinetic Energy , 86.0385 , Total Energy , -169.626, Delta Energy , -7.08491e-05, Time , 49
Potential Energy , -255.649 , Kinetic Energy , 86.0225 , Total Energy , -169.626, Delta Energy , -7.1197e-05, Time , 49.5
Potential Energy , -255.633 , Kinetic Energy , 86.0065 , Total Energy , -169.626, Delta Energy , -7.15407e-05, Time , 50
Potential Energy , -255.617 , Kinetic Energy , 85.9905 , Total Energy , -169.626, Delta Energy , -7.18797e-05, Time , 50.5
Potential Energy , -255.601 , Kinetic Energy , 85.9744 , Total Energy , -169.626, Delta Energy , -7.22139e-05, Time , 51
Potential Energy , -255.585 , Kinetic Energy , 85.9584 , Total Energy , -169.626, Delta Energy , -7.25429e-05, Time , 51.5
Potential Energy , -255.569 , Kinetic Energy , 85.9425 , Total Energy , -169.626, Delta Energy , -7.28665e-05, Time , 52
Potential Energy , -255.553 , Kinetic Energy , 85.9265 , Total Energy , -169.626, Delta Energy , -7.31843e-05, Time , 52.5
Potential Energy , -255.537 , Kinetic Energy , 85.9105 , Total Energy , -169.626, Delta Energy , -7.3496e-05, Time , 53
Potential Energy , -255.521 , Kinetic Energy , 85.8946 , Total Energy , -169.626, Delta Energy , -7.38013e-05, Time , 53.5
Potential Energy , -255.505 , Kinetic Energy , 85.8787 , Total Energy , -169.626, Delta Energy , -7.41e-05, Time , 54
Potential Energy , -255.489 , Kinetic Energy , 85.8628 , Total Energy , -169.626, Delta Energy , -7.43917e-05, Time , 54.5
Potential Energy , -255.473 , Kinetic Energy , 85.847 , Total Energy , -169.626, Delta Energy , -7.46761e-05, Time , 55
Potential Energy , -255.458 , Kinetic Energy , 85.8312 , Total Energy , -169.626, Delta Energy , -7.49529e-05, Time , 55.5
Potential Energy , -255.442 , Kinetic Energy , 85.8155 , Total Energy , -169.626, Delta Energy , -7.52216e-05, Time , 56
Potential Energy , -255.426 , Kinetic Energy , 85.7998 , Total Energy , -169.626, Delta Energy , -7.5482e-05, Time , 56.5
Potential Energy , -255.411 , Kinetic Energy , 85.7841 , Total Energy , -169.626, Delta Energy , -7.57336e-05, Time , 57
Potential Energy , -255.395 , Kinetic Energy , 85.7685 , Total Energy , -169.626, Delta Energy , -7.5976e-05, Time , 57.5
Potential Energy , -255.379 , Kinetic Energy , 85.753 , Total Energy , -169.626, Delta Energy , -7.62087e-05, Time , 58
Potential Energy , -255.364 , Kinetic Energy , 85.7376 , Total Energy , -169.626, Delta Energy , -7.64312e-05, Time , 58.5
Potential Energy , -255.349 , Kinetic Energy , 85.7222 , Total Energy , -169.626, Delta Energy , -7.66431e-05, Time , 59
Potential Energy , -255.333 , Kinetic Energy , 85.7069 , Total Energy , -169.626, Delta Energy , -7.68435e-05, Time , 59.5
Potential Energy , -255.318 , Kinetic Energy , 85.6916 , Total Energy , -169.626, Delta Energy , -7.7032e-05, Time , 60
Potential Energy , -255.303 , Kinetic Energy , 85.6765 , Total Energy , -169.626, Delta Energy , -7.72079e-05, Time , 60.5
Potential Energy , -255.288 , Kinetic Energy , 85.6614 , Total Energy , -169.626, Delta Energy , -7.73703e-05, Time , 61
Potential Energy , -255.273 , Kinetic Energy , 85.6465 , Total Energy , -169.626, Delta Energy , -7.75185e-05, Time , 61.5
Potential Energy , -255.258 , Kinetic Energy , 85.6316 , Total Energy , -169.626, Delta Energy , -7.76515e-05, Time , 62
Potential Energy , -255.243 , Kinetic Energy , 85.6168 , Total Energy , -169.626, Delta Energy , -7.77684e-05, Time , 62.5
Potential Energy , -255.229 , Kinetic Energy , 85.6021 , Total Energy , -169.626, Delta Energy , -7.78681e-05, Time , 63
Potential Energy , -255.214 , Kinetic Energy , 85.5875 , Total Energy , -169.626, Delta Energy , -7.79494e-05, Time , 63.5
Potential Energy , -255.199 , Kinetic Energy , 85.5731 , Total Energy , -169.626, Delta Energy , -7.80111e-05, Time , 64
Potential Energy , -255.185 , Kinetic Energy , 85.5587 , Total Energy , -169.626, Delta Energy , -7.80518e-05, Time , 64.5
Potential Energy , -255.171 , Kinetic Energy , 85.5445 , Total Energy , -169.626, Delta Energy , -7.807e-05, Time , 65
Potential Energy , -255.157 , Kinetic Energy , 85.5303 , Total Energy , -169.626, Delta Energy , -7.80642e-05, Time , 65.5
Potential Energy , -255.143 , Kinetic Energy , 85.5163 , Total Energy , -169.626, Delta Energy , -7.80326e-05, Time , 66
Potential Energy , -255.129 , Kinetic Energy , 85.5025 , Total Energy , -169.626, Delta Energy , -7.79734e-05, Time , 66.5
Potential Energy , -255.115 , Kinetic Energy , 85.4887 , Total Energy , -169.626, Delta Energy , -7.78847e-05, Time , 67
Potential Energy , -255.101 , Kinetic Energy , 85.4751 , Total Energy , -169.626, Delta Energy , -7.77643e-05, Time , 67.5
Potential Energy , -255.088 , Kinetic Energy , 85.4616 , Total Energy , -169.626, Delta Energy , -7.761e-05, Time , 68
Potential Energy , -255.075 , Kinetic Energy , 85.4482 , Total Energy , -169.626, Delta Energy , -7.74196e-05, Time , 68.5
Potential Energy , -255.061 , Kinetic Energy , 85.435 , Total Energy , -169.626, Delta Energy , -7.71904e-05, Time , 69
Potential Energy , -255.048 , Kinetic Energy , 85.4219 , Total Energy , -169.626, Delta Energy , -7.69201e-05, Time , 69.5
Potential Energy , -255.035 , Kinetic Energy , 85.409 , Total Energy , -169.626, Delta Energy , -7.66058e-05, Time , 70
Potential Energy , -255.023 , Kinetic Energy , 85.3962 , Total Energy , -169.626, Delta Energy , -7.62449e-05, Time , 70.5
Potential Energy , -255.01 , Kinetic Energy , 85.3835 , Total Energy , -169.626, Delta Energy , -7.58347e-05, Time , 71
Potential Energy , -254.997 , Kinetic Energy , 85.371 , Total Energy , -169.626, Delta Energy , -7.53723e-05, Time , 71.5
Potential Energy , -254.985 , Kinetic Energy , 85.3586 , Total Energy , -169.626, Delta Energy , -7.48551e-05, Time , 72
Potential Energy , -254.973 , Kinetic Energy , 85.3464 , Total Energy , -169.626, Delta Energy , -7.42804e-05, Time , 72.5
Potential Energy , -254.961 , Kinetic Energy , 85.3343 , Total Energy , -169.626, Delta Energy , -7.36458e-05, Time , 73
Potential Energy , -254.949 , Kinetic Energy , 85.3224 , Total Energy , -169.626, Delta Energy , -7.29491e-05, Time , 73.5
Potential Energy , -254.937 , Kinetic Energy , 85.3106 , Total Energy , -169.626, Delta Energy , -7.21883e-05, Time , 74
Potential Energy , -254.925 , Kinetic Energy , 85.2989 , Total Energy , -169.626, Delta Energy , -7.13621e-05, Time , 74.5
Potential Energy , -254.914 , Kinetic Energy , 85.2873 , Total Energy , -169.626, Delta Energy , -7.04695e-05, Time , 75
Potential Energy , -254.902 , Kinetic Energy , 85.2759 , Total Energy , -169.626, Delta Energy , -6.95103e-05, Time , 75.5
Potential Energy , -254.891 , Kinetic Energy , 85.2647 , Total Energy , -169.626, Delta Energy , -6.8485e-05, Time , 76
Potential Energy , -254.88 , Kinetic Energy , 85.2535 , Total Energy , -169.626, Delta Energy , -6.73951e-05, Time , 76.5
Potential Energy , -254.869 , Kinetic Energy , 85.2425 , Total Energy , -169.626, Delta Energy , -6.62432e-05, Time , 77
Potential Energy , -254.858 , Kinetic Energy , 85.2315 , Total Energy , -169.626, Delta Energy , -6.50328e-05, Time , 77.5
Potential Energy , -254.847 , Kinetic Energy , 85.2207 , Total Energy , -169.626, Delta Energy , -6.3769e-05, Time , 78
Potential Energy , -254.836 , Kinetic Energy , 85.21 , Total Energy , -169.626, Delta Energy , -6.24582e-05, Time , 78.5
Potential Energy , -254.826 , Kinetic Energy , 85.1994 , Total Energy , -169.626, Delta Energy , -6.11083e-05, Time , 79
Potential Energy , -254.815 , Kinetic Energy , 85.1889 , Total Energy , -169.626, Delta Energy , -5.97284e-05, Time , 79.5
Potential Energy , -254.805 , Kinetic Energy , 85.1785 , Total Energy , -169.626, Delta Energy , -5.83295e-05, Time , 80
Potential Energy , -254.795 , Kinetic Energy , 85.1681 , Total Energy , -169.626, Delta Energy , -5.69236e-05, Time , 80.5
Potential Energy , -254.784 , Kinetic Energy , 85.1578 , Total Energy , -169.626, Delta Energy , -5.5524e-05, Time , 81
Potential Energy , -254.774 , Kinetic Energy , 85.1476 , Total Energy , -169.626, Delta Energy , -5.41454e-05, Time , 81.5
