-3,0,0,3,0,0,time:,0
-2.99653,-0.149944,0,2.99653,0.149944,0,time:,0.5
-2.98612,-0.299543,0,2.98612,0.299543,0,time:,1
-2.96882,-0.448451,0,2.96882,0.448451,0,time:,1.5
-2.94466,-0.596326,0,2.94466,0.596326,0,time:,2
-2.91371,-0.742828,0,2.91371,0.742828,0,time:,2.5
-2.87607,-0.887626,0,2.87607,0.887626,0,time:,3
-2.83183,-1.03039,0,2.83183,1.03039,0,time:,3.5
-2.78113,-1.17081,0,2.78113,1.17081,0,time:,4
-2.7241,-1.30856,0,2.7241,1.30856,0,time:,4.5
-2.66091,-1.44335,0,2.66091,1.44335,0,time:,5
-2.59172,-1.57489,0,2.59172,1.57489,0,time:,5.5
-2.51672,-1.70291,0,2.51672,1.70291,0,time:,6
-2.43611,-1.82714,0,2.43611,1.82714,0,time:,6.5
-2.35012,-1.94732,0,2.35012,1.94732,0,time:,7
-2.25896,-2.06323,0,2.25896,2.06323,0,time:,7.5
-2.16286,-2.17463,0,2.16286,2.17463,0,time:,8
-2.06208,-2.28133,0,2.06208,2.28133,0,time:,8.5
-1.95687,-2.38313,0,1.95687,2.38313,0,time:,9
-1.84749,-2.47984,0,1.84749,2.47984,0,time:,9.5
-1.7342,-2.57132,0,1.7342,2.57132,0,time:,10
-1.61728,-2.65742,0,1.61728,2.65742,0,time:,10.5
-1.49699,-2.738,0,1.49699,2.738,0,time:,11
-1.37363,-2.81295,0,1.37363,2.81295,0,time:,11.5
-1.24747,-2.88217,0,1.24747,2.88217,0,time:,12
-1.11879,-2.94557,0,1.11879,2.94557,0,time:,12.5
-0.987869,-3.0031,0,0.987869,3.0031,0,time:,13
-0.854995,-3.05468,0,0.854995,3.05468,0,time:,13.5
-0.720445,-3.10029,0,0.720445,3.10029,0,time:,14
-0.584498,-3.13988,0,0.584498,3.13988,0,time:,14.5
-0.447427,-3.17345,0,0.447427,3.17345,0,time:,15
-0.309505,-3.201,0,0.309505,3.201,0,time:,15.5
-0.171,-3.22254,0,0.171,3.22254,0,time:,16
-0.0321753,-3.23808,0,0.0321753,3.23808,0,time:,16.5
0.106711,-3.24766,0,-0.106711,3.24766,0,time:,17
0.245404,-3.25133,0,-0.245404,3.25133,0,time:,17.5
0.383657,-3.24914,0,-0.383657,3.24914,0,time:,18
0.521226,-3.24114,0,-0.521226,3.24114,0,time:,18.5
0.657877,-3.22743,0,-0.657877,3.22743,0,time:,19
0.793379,-3.20806,0,-0.793379,3.20806,0,time:,19.5
0.927508,-3.18315,0,-0.927508,3.18315,0,time:,20
1.06005,-3.15277,0,-1.06005,3.15277,0,time:,20.5
1.19079,-3.11704,0,-1.19079,3.11704,0,time:,21
1.31953,-3.07606,0,-1.31953,3.07606,0,time:,21.5
1.44607,-3.02996,0,-1.44607,3.02996,0,time:,22
1.57023,-2.97886,0,-1.57023,2.97886,0,time:,22.5
1.69182,-2.92287,0,-1.69182,2.92287,0,time:,23
1.81066,-2.86215,0,-1.81066,2.86215,0,time:,23.5
1.92659,-2.79682,0,-1.92659,2.79682,0,time:,24
2.03945,-2.72702,0,-2.03945,2.72702,0,time:,24.5
2.14908,-2.65291,0,-2.14908,2.65291,0,time:,25
2.25534,-2.57464,0,-2.25534,2.57464,0,time:,25.5
2.35809,-2.49235,0,-2.35809,2.49235,0,time:,26
2.45719,-2.4062,0,-2.45719,2.4062,0,time:,26.5
2.55251,-2.31636,0,-2.55251,2.31636,0,time:,27
2.64394,-2.22297,0,-2.64394,2.22297,0,time:,27.5
2.73136,-2.12622,0,-2.73136,2.12622,0,time:,28
2.81466,-2.02626,0,-2.81466,2.02626,0,time:,28.5
2.89375,-1.92327,0,-2.89375,1.92327,0,time:,29
2.96853,-1.81741,0,-2.96853,1.81741,0,time:,29.5
3.03891,-1.70885,0,-3.03891,1.70885,0,time:,30
3.10481,-1.59778,0,-3.10481,1.59778,0,time:,30.5
3.16615,-1.48436,0,-3.16615,1.48436,0,time:,31
3.22287,-1.36876,0,-3.22287,1.36876,0,time:,31.5
3.27489,-1.25118,0,-3.27489,1.25118,0,time:,32
3.32217,-1.13177,0,-3.32217,1.13177,0,time:,32.5
3.36464,-1.01073,0,-3.36464,1.01073,0,time:,33
3.40226,-0.888237,0,-3.40226,0.888237,0,time:,33.5
3.43499,-0.764462,0,-3.43499,0.764462,0,time:,34
3.4628,-0.639589,0,-3.4628,0.639589,0,time:,34.5
3.48565,-0.513801,0,-3.48565,0.513801,0,time:,35
3.50352,-0.387277,0,-3.50352,0.387277,0,time:,35.5
3.51639,-0.2602,0,-3.51639,0.2602,0,time:,36
3.52425,-0.13275,0,-3.52425,0.13275,0,time:,36.5
3.52709,-0.00511099,0,-3.52709,0.00511099,0,time:,37
3.5249,0.122537,0,-3.5249,-0.122537,0,time:,37.5
3.51769,0.250011,0,-3.51769,-0.250011,0,time:,38
3.50547,0.377129,0,-3.50547,-0.377129,0,time:,38.5
3.48826,0.503711,0,-3.48826,-0.503711,0,time:,39
3.46606,0.629575,0,-3.46606,-0.629575,0,time:,39.5
3.43891,0.75454,0,-3.43891,-0.75454,0,time:,40
3.40683,0.878425,0,-3.40683,-0.878425,0,time:,40.5
3.36986,1.00105,0,-3.36986,-1.00105,0,time:,41
3.32805,1.12224,0,-3.32805,-1.12224,0,time:,41.5
3.28143,1.2418,0,-3.28143,-1.2418,0,time:,42
3.23007,1.35958,0,-3.23007,-1.35958,0,time:,42.5
3.17402,1.47538,0,-3.17402,-1.47538,0,time:,43
