Potential Energy , -183.476 , Kinetic Energy , 80.8105 , Total Energy , -102.665, Delta Energy , -0.00147379, Time , 152
Potential Energy , -183.4 , Kinetic Energy , 80.7346 , Total Energy , -102.665, Delta Energy , -0.00144964, Time , 154
Potential Energy , -183.326 , Kinetic Energy , 80.6607 , Total Energy , -102.665, Delta Energy , -0.00141687, Time , 156
Potential Energy , -183.254 , Kinetic Energy , 80.5887 , Total Energy , -102.665, Delta Energy , -0.00137251, Time , 158
Potential Energy , -183.184 , Kinetic Energy , 80.5185 , Total Energy , -102.665, Delta Energy , -0.00131321, Time , 160
Potential Energy , -183.116 , Kinetic Energy , 80.4499 , Total Energy , -102.666, Delta Energy , -0.00123623, Time , 162
Potential Energy , -183.048 , Kinetic Energy , 80.3826 , Total Energy , -102.666, Delta Energy , -0.00114153, Time , 164
Potential Energy , -182.982 , Kinetic Energy , 80.316 , Total Energy , -102.666, Delta Energy , -0.00103499, Time , 166
Potential Energy , -182.915 , Kinetic Energy , 80.2496 , Total Energy , -102.666, Delta Energy , -0.000931072, Time , 168
Potential Energy , -182.849 , Kinetic Energy , 80.1829 , Total Energy , -102.666, Delta Energy , -0.000851629, Time , 170
Potential Energy , -182.781 , Kinetic Energy , 80.1153 , Total Energy , -102.666, Delta Energy , -0.000817905, Time , 172
Potential Energy , -182.713 , Kinetic Energy , 80.0466 , Total Energy , -102.666, Delta Energy , -0.000839143, Time , 174
Potential Energy , -182.643 , Kinetic Energy , 79.977 , Total Energy , -102.666, Delta Energy , -0.000907084, Time , 176
Potential Energy , -182.573 , Kinetic Energy , 79.9069 , Total Energy , -102.666, Delta Energy , -0.00100173, Time , 178
Potential Energy , -182.502 , Kinetic Energy , 79.8368 , Total Energy , -102.666, Delta Energy , -0.00110263, Time , 180
Potential Energy , -182.433 , Kinetic Energy , 79.7671 , Total Energy , -102.666, Delta Energy , -0.00119641, Time , 182
Potential Energy , -182.364 , Kinetic Energy , 79.6983 , Total Energy , -102.666, Delta Energy , -0.00127769, Time , 184
Potential Energy , -182.296 , Kinetic Energy , 79.6308 , Total Energy , -102.665, Delta Energy , -0.00134632, Time , 186
Potential Energy , -182.23 , Kinetic Energy , 79.5647 , Total Energy , -102.665, Delta Energy , -0.00140426, Time , 188
Potential Energy , -182.166 , Kinetic Energy , 79.5004 , Total Energy , -102.665, Delta Energy , -0.00145371, Time , 190
Potential Energy , -182.103 , Kinetic Energy , 79.438 , Total Energy , -102.665, Delta Energy , -0.00149632, Time , 192
Potential Energy , -182.043 , Kinetic Energy , 79.3775 , Total Energy , -102.665, Delta Energy , -0.00153315, Time , 194
Potential Energy , -181.984 , Kinetic Energy , 79.3192 , Total Energy , -102.665, Delta Energy , -0.00156482, Time , 196
Potential Energy , -181.928 , Kinetic Energy , 79.2631 , Total Energy , -102.665, Delta Energy , -0.00159177, Time , 198
Potential Energy , -181.875 , Kinetic Energy , 79.2093 , Total Energy , -102.665, Delta Energy , -0.00161436, Time , 200
Potential Energy , -181.823 , Kinetic Energy , 79.1579 , Total Energy , -102.665, Delta Energy , -0.00163298, Time , 202
Potential Energy , -181.774 , Kinetic Energy , 79.1089 , Total Energy , -102.665, Delta Energy , -0.00164803, Time , 204
Potential Energy , -181.728 , Kinetic Energy , 79.0624 , Total Energy , -102.665, Delta Energy , -0.0016599, Time , 206
Potential Energy , -181.683 , Kinetic Energy , 79.0183 , Total Energy , -102.665, Delta Energy , -0.00166897, Time , 208
Potential Energy , -181.642 , Kinetic Energy , 78.9766 , Total Energy , -102.665, Delta Energy , -0.00167561, Time , 210
Potential Energy , -181.603 , Kinetic Energy , 78.9375 , Total Energy , -102.665, Delta Energy , -0.00168008, Time , 212
Potential Energy , -181.566 , Kinetic Energy , 78.9008 , Total Energy , -102.665, Delta Energy , -0.00168263, Time , 214
Potential Energy , -181.532 , Kinetic Energy , 78.8665 , Total Energy , -102.665, Delta Energy , -0.0016834, Time , 216
