Potential Energy , -189.361 , Kinetic Energy , 86.6943 , Total Energy , -102.667, Delta Energy , -5.36885e-05, Time , 25.5
Potential Energy , -189.348 , Kinetic Energy , 86.6814 , Total Energy , -102.667, Delta Energy , -5.38704e-05, Time , 26
Potential Energy , -189.335 , Kinetic Energy , 86.6684 , Total Energy , -102.667, Delta Energy , -5.40441e-05, Time , 26.5
Potential Energy , -189.322 , Kinetic Energy , 86.6552 , Total Energy , -102.667, Delta Energy , -5.42112e-05, Time , 27
Potential Energy , -189.309 , Kinetic Energy , 86.6418 , Total Energy , -102.667, Delta Energy , -5.43732e-05, Time , 27.5
Potential Energy , -189.295 , Kinetic Energy , 86.6282 , Total Energy , -102.667, Delta Energy , -5.45315e-05, Time , 28
Potential Energy , -189.281 , Kinetic Energy , 86.6145 , Total Energy , -102.667, Delta Energy , -5.46873e-05, Time , 28.5
Potential Energy , -189.267 , Kinetic Energy , 86.6006 , Total Energy , -102.667, Delta Energy , -5.48418e-05, Time , 29
Potential Energy , -189.253 , Kinetic Energy , 86.5865 , Total Energy , -102.667, Delta Energy , -5.49962e-05, Time , 29.5
Potential Energy , -189.239 , Kinetic Energy , 86.5722 , Total Energy , -102.667, Delta Energy , -5.51515e-05, Time , 30
Potential Energy , -189.225 , Kinetic Energy , 86.5578 , Total Energy , -102.667, Delta Energy , -5.53084e-05, Time , 30.5
Potential Energy , -189.21 , Kinetic Energy , 86.5432 , Total Energy , -102.667, Delta Energy , -5.54679e-05, Time , 31
Potential Energy , -189.195 , Kinetic Energy , 86.5284 , Total Energy , -102.667, Delta Energy , -5.56307e-05, Time , 31.5
Potential Energy , -189.18 , Kinetic Energy , 86.5134 , Total Energy , -102.667, Delta Energy , -5.57973e-05, Time , 32
Potential Energy , -189.165 , Kinetic Energy , 86.4983 , Total Energy , -102.667, Delta Energy , -5.59683e-05, Time , 32.5
Potential Energy , -189.15 , Kinetic Energy , 86.483 , Total Energy , -102.667, Delta Energy , -5.61442e-05, Time , 33
Potential Energy , -189.134 , Kinetic Energy , 86.4675 , Total Energy , -102.667, Delta Energy , -5.63252e-05, Time , 33.5
Potential Energy , -189.119 , Kinetic Energy , 86.4518 , Total Energy , -102.667, Delta Energy , -5.65116e-05, Time , 34
Potential Energy , -189.103 , Kinetic Energy , 86.436 , Total Energy , -102.667, Delta Energy , -5.67036e-05, Time , 34.5
Potential Energy , -189.087 , Kinetic Energy , 86.4199 , Total Energy , -102.667, Delta Energy , -5.69014e-05, Time , 35
Potential Energy , -189.07 , Kinetic Energy , 86.4037 , Total Energy , -102.667, Delta Energy , -5.71048e-05, Time , 35.5
Potential Energy , -189.054 , Kinetic Energy , 86.3874 , Total Energy , -102.667, Delta Energy , -5.7314e-05, Time , 36
Potential Energy , -189.038 , Kinetic Energy , 86.3708 , Total Energy , -102.667, Delta Energy , -5.75288e-05, Time , 36.5
Potential Energy , -189.021 , Kinetic Energy , 86.3541 , Total Energy , -102.667, Delta Energy , -5.7749e-05, Time , 37
Potential Energy , -189.004 , Kinetic Energy , 86.3372 , Total Energy , -102.667, Delta Energy , -5.79744e-05, Time , 37.5
Potential Energy , -188.987 , Kinetic Energy , 86.3201 , Total Energy , -102.667, Delta Energy , -5.82047e-05, Time , 38
Potential Energy , -188.97 , Kinetic Energy , 86.3029 , Total Energy , -102.667, Delta Energy , -5.84397e-05, Time , 38.5
Potential Energy , -188.952 , Kinetic Energy , 86.2855 , Total Energy , -102.667, Delta Energy , -5.8679e-05, Time , 39
Potential Energy , -188.935 , Kinetic Energy , 86.2679 , Total Energy , -102.667, Delta Energy , -5.89221e-05, Time , 39.5
Potential Energy , -188.917 , Kinetic Energy , 86.2502 , Total Energy , -102.667, Delta Energy , -5.91688e-05, Time , 40
Potential Energy , -188.899 , Kinetic Energy , 86.2323 , Total Energy , -102.667, Delta Energy , -5.94186e-05, Time , 40.5
Potential Energy , -188.881 , Kinetic Energy , 86.2142 , Total Energy , -102.667, Delta Energy , -5.9671e-05, Time , 41
Potential Energy , -188.863 , Kinetic Energy , 86.196 , Total Energy , -102.667, Delta Energy , -5.99256e-05, Time , 41.5
Potential Energy , -188.844 , Kinetic Energy , 86.1776 , Total Energy , -102.667, Delta Energy , -6.0182e-05, Time , 42
Potential Energy , -188.826 , Kinetic Energy , 86.1591 , Total Energy , -102.667, Delta Energy , -6.04396e-05, Time , 42.5
Potential Energy , -188.807 , Kinetic Energy , 86.1404 , Total Energy , -102.667, Delta Energy , -6.06981e-05, Time , 43
Potential Energy , -188.788 , Kinetic Energy , 86.1216 , Total Energy , -102.667, Delta Energy , -6.0957e-05, Time , 43.5
Potential Energy , -188.769 , Kinetic Energy , 86.1026 , Total Energy , -102.667, Delta Energy , -6.12159e-05, Time , 44
Potential Energy , -188.75 , Kinetic Energy , 86.0835 , Total Energy , -102.667, Delta Energy , -6.14742e-05, Time , 44.5
Potential Energy , -188.731 , Kinetic Energy , 86.0642 , Total Energy , -102.667, Delta Energy , -6.17317e-05, Time , 45
Potential Energy , -188.712 , Kinetic Energy , 86.0448 , Total Energy , -102.667, Delta Energy , -6.1988e-05, Time , 45.5
Potential Energy , -188.692 , Kinetic Energy , 86.0253 , Total Energy , -102.667, Delta Energy , -6.22425e-05, Time , 46
Potential Energy , -188.672 , Kinetic Energy , 86.0056 , Total Energy , -102.667, Delta Energy , -6.2495e-05, Time , 46.5
Potential Energy , -188.653 , Kinetic Energy , 85.9858 , Total Energy , -102.667, Delta Energy , -6.27451e-05, Time , 47
Potential Energy , -188.633 , Kinetic Energy , 85.9659 , Total Energy , -102.667, Delta Energy , -6.29925e-05, Time , 47.5
Potential Energy , -188.613 , Kinetic Energy , 85.9458 , Total Energy , -102.667, Delta Energy , -6.32369e-05, Time , 48
Potential Energy , -188.592 , Kinetic Energy , 85.9256 , Total Energy , -102.667, Delta Energy , -6.34779e-05, Time , 48.5
Potential Energy , -188.572 , Kinetic Energy , 85.9054 , Total Energy , -102.667, Delta Energy , -6.37153e-05, Time , 49
Potential Energy , -188.552 , Kinetic Energy , 85.8849 , Total Energy , -102.667, Delta Energy , -6.39488e-05, Time , 49.5
Potential Energy , -188.531 , Kinetic Energy , 85.8644 , Total Energy , -102.667, Delta Energy , -6.41782e-05, Time , 50
Potential Energy , -188.511 , Kinetic Energy , 85.8438 , Total Energy , -102.667, Delta Energy , -6.44031e-05, Time , 50.5
Potential Energy , -188.49 , Kinetic Energy , 85.823 , Total Energy , -102.667, Delta Energy , -6.46234e-05, Time , 51
Potential Energy , -188.469 , Kinetic Energy , 85.8022 , Total Energy , -102.667, Delta Energy , -6.48388e-05, Time , 51.5
Potential Energy , -188.448 , Kinetic Energy , 85.7812 , Total Energy , -102.667, Delta Energy , -6.50491e-05, Time , 52
Potential Energy , -188.427 , Kinetic Energy , 85.7602 , Total Energy , -102.667, Delta Energy , -6.5254e-05, Time , 52.5
Potential Energy , -188.406 , Kinetic Energy , 85.739 , Total Energy , -102.667, Delta Energy , -6.54534e-05, Time , 53
Potential Energy , -188.384 , Kinetic Energy , 85.7178 , Total Energy , -102.667, Delta Energy , -6.56469e-05, Time , 53.5
Potential Energy , -188.363 , Kinetic Energy , 85.6964 , Total Energy , -102.667, Delta Energy , -6.58343e-05, Time , 54
Potential Energy , -188.342 , Kinetic Energy , 85.675 , Total Energy , -102.667, Delta Energy , -6.60154e-05, Time , 54.5
Potential Energy , -188.32 , Kinetic Energy , 85.6535 , Total Energy , -102.667, Delta Energy , -6.619e-05, Time , 55
Potential Energy , -188.299 , Kinetic Energy , 85.6319 , Total Energy , -102.667, Delta Energy , -6.63576e-05, Time , 55.5
Potential Energy , -188.277 , Kinetic Energy , 85.6102 , Total Energy , -102.667, Delta Energy , -6.65181e-05, Time , 56
Potential Energy , -188.255 , Kinetic Energy , 85.5885 , Total Energy , -102.667, Delta Energy , -6.66711e-05, Time , 56.5
Potential Energy , -188.233 , Kinetic Energy , 85.5666 , Total Energy , -102.667, Delta Energy , -6.68162e-05, Time , 57
Potential Energy , -188.211 , Kinetic Energy , 85.5447 , Total Energy , -102.667, Delta Energy , -6.69531e-05, Time , 57.5
Potential Energy , -188.189 , Kinetic Energy , 85.5228 , Total Energy , -102.667, Delta Energy , -6.70813e-05, Time , 58
Potential Energy , -188.167 , Kinetic Energy , 85.5007 , Total Energy , -102.667, Delta Energy , -6.72003e-05, Time , 58.5
Potential Energy , -188.145 , Kinetic Energy , 85.4786 , Total Energy , -102.667, Delta Energy , -6.73098e-05, Time , 59
Potential Energy , -188.123 , Kinetic Energy , 85.4565 , Total Energy , -102.667, Delta Energy , -6.7409e-05, Time , 59.5
Potential Energy , -188.101 , Kinetic Energy , 85.4342 , Total Energy , -102.667, Delta Energy , -6.74974e-05, Time , 60
Potential Energy , -188.079 , Kinetic Energy , 85.4119 , Total Energy , -102.667, Delta Energy , -6.75744e-05, Time , 60.5
Potential Energy , -188.056 , Kinetic Energy , 85.3896 , Total Energy , -102.667, Delta Energy , -6.76391e-05, Time , 61
Potential Energy , -188.034 , Kinetic Energy , 85.3672 , Total Energy , -102.667, Delta Energy , -6.76909e-05, Time , 61.5
Potential Energy , -188.012 , Kinetic Energy , 85.3448 , Total Energy , -102.667, Delta Energy , -6.77288e-05, Time , 62
Potential Energy , -187.989 , Kinetic Energy , 85.3223 , Total Energy , -102.667, Delta Energy , -6.77518e-05, Time , 62.5
Potential Energy , -187.966 , Kinetic Energy , 85.2998 , Total Energy , -102.667, Delta Energy , -6.7759e-05, Time , 63
Potential Energy , -187.944 , Kinetic Energy , 85.2772 , Total Energy , -102.667, Delta Energy , -6.77491e-05, Time , 63.5
Potential Energy , -187.921 , Kinetic Energy , 85.2546 , Total Energy , -102.667, Delta Energy , -6.77209e-05, Time , 64
Potential Energy , -187.899 , Kinetic Energy , 85.2319 , Total Energy , -102.667, Delta Energy , -6.76732e-05, Time , 64.5
Potential Energy , -187.876 , Kinetic Energy , 85.2092 , Total Energy , -102.667, Delta Energy , -6.76044e-05, Time , 65
Potential Energy , -187.853 , Kinetic Energy , 85.1865 , Total Energy , -102.667, Delta Energy , -6.75129e-05, Time , 65.5
Potential Energy , -187.83 , Kinetic Energy , 85.1637 , Total Energy , -102.667, Delta Energy , -6.73971e-05, Time , 66
Potential Energy , -187.808 , Kinetic Energy , 85.1409 , Total Energy , -102.667, Delta Energy , -6.72551e-05, Time , 66.5
Potential Energy , -187.785 , Kinetic Energy , 85.1181 , Total Energy , -102.667, Delta Energy , -6.7085e-05, Time , 67
Potential Energy , -187.762 , Kinetic Energy , 85.0953 , Total Energy , -102.667, Delta Energy , -6.68848e-05, Time , 67.5
Potential Energy , -187.739 , Kinetic Energy , 85.0724 , Total Energy , -102.667, Delta Energy , -6.66522e-05, Time , 68
Potential Energy , -187.716 , Kinetic Energy , 85.0495 , Total Energy , -102.667, Delta Energy , -6.63848e-05, Time , 68.5
Potential Energy , -187.693 , Kinetic Energy , 85.0265 , Total Energy , -102.667, Delta Energy , -6.60804e-05, Time , 69
Potential Energy , -187.67 , Kinetic Energy , 85.0036 , Total Energy , -102.667, Delta Energy , -6.57362e-05, Time , 69.5
Potential Energy , -187.647 , Kinetic Energy , 84.9806 , Total Energy , -102.667, Delta Energy , -6.53498e-05, Time , 70
Potential Energy , -187.624 , Kinetic Energy , 84.9576 , Total Energy , -102.667, Delta Energy , -6.49184e-05, Time , 70.5
Potential Energy , -187.601 , Kinetic Energy , 84.9346 , Total Energy , -102.667, Delta Energy , -6.44393e-05, Time , 71
Potential Energy , -187.578 , Kinetic Energy , 84.9115 , Total Energy , -102.667, Delta Energy , -6.39098e-05, Time , 71.5
Potential Energy , -187.555 , Kinetic Energy , 84.8884 , Total Energy , -102.667, Delta Energy , -6.33273e-05, Time , 72
Potential Energy , -187.532 , Kinetic Energy , 84.8653 , Total Energy , -102.667, Delta Energy , -6.26891e-05, Time , 72.5
Potential Energy , -187.509 , Kinetic Energy , 84.8422 , Total Energy , -102.667, Delta Energy , -6.1993e-05, Time , 73
Potential Energy , -187.486 , Kinetic Energy , 84.819 , Total Energy , -102.667, Delta Energy , -6.12369e-05, Time , 73.5
Potential Energy , -187.463 , Kinetic Energy , 84.7958 , Total Energy , -102.667, Delta Energy , -6.04188e-05, Time , 74
Potential Energy , -187.439 , Kinetic Energy , 84.7725 , Total Energy , -102.667, Delta Energy , -5.95376e-05, Time , 74.5
Potential Energy , -187.416 , Kinetic Energy , 84.7493 , Total Energy , -102.667, Delta Energy , -5.85923e-05, Time , 75
Potential Energy , -187.393 , Kinetic Energy , 84.7259 , Total Energy , -102.667, Delta Energy , -5.7583e-05, Time , 75.5
Potential Energy , -187.369 , Kinetic Energy , 84.7026 , Total Energy , -102.667, Delta Energy , -5.65103e-05, Time , 76
Potential Energy , -187.346 , Kinetic Energy , 84.6791 , Total Energy , -102.667, Delta Energy , -5.53757e-05, Time , 76.5
Potential Energy , -187.322 , Kinetic Energy , 84.6556 , Total Energy , -102.667, Delta Energy , -5.4182e-05, Time , 77
Potential Energy , -187.299 , Kinetic Energy , 84.6321 , Total Energy , -102.667, Delta Energy , -5.29329e-05, Time , 77.5
Potential Energy , -187.275 , Kinetic Energy , 84.6085 , Total Energy , -102.667, Delta Energy , -5.16337e-05, Time , 78
Potential Energy , -187.252 , Kinetic Energy , 84.5848 , Total Energy , -102.667, Delta Energy , -5.02907e-05, Time , 78.5
Potential Energy , -187.228 , Kinetic Energy , 84.561 , Total Energy , -102.667, Delta Energy , -4.89118e-05, Time , 79
Potential Energy , -187.204 , Kinetic Energy , 84.5371 , Total Energy , -102.667, Delta Energy , -4.75065e-05, Time , 79.5
Potential Energy , -187.18 , Kinetic Energy , 84.5131 , Total Energy , -102.667, Delta Energy , -4.60853e-05, Time , 80
Potential Energy , -187.156 , Kinetic Energy , 84.4891 , Total Energy , -102.667, Delta Energy , -4.46603e-05, Time , 80.5
Potential Energy , -187.132 , Kinetic Energy , 84.4649 , Total Energy , -102.667, Delta Energy , -4.32448e-05, Time , 81
Potential Energy , -187.107 , Kinetic Energy , 84.4405 , Total Energy , -102.667, Delta Energy , -4.18529e-05, Time , 81.5
Potential Energy , -187.083 , Kinetic Energy , 84.4161 , Total Energy , -102.667, Delta Energy , -4.04995e-05, Time , 82
Potential Energy , -187.058 , Kinetic Energy , 84.3915 , Total Energy , -102.667, Delta Energy , -3.91998e-05, Time , 82.5
Potential Energy , -187.034 , Kinetic Energy , 84.3667 , Total Energy , -102.667, Delta Energy , -3.79693e-05, Time , 83
Potential Energy , -187.009 , Kinetic Energy , 84.3419 , Total Energy , -102.667, Delta Energy , -3.68229e-05, Time , 83.5
Potential Energy , -186.984 , Kinetic Energy , 84.3168 , Total Energy , -102.667, Delta Energy , -3.57749e-05, Time , 84
Potential Energy , -186.958 , Kinetic Energy , 84.2916 , Total Energy , -102.667, Delta Energy , -3.48384e-05, Time , 84.5
Potential Energy , -186.933 , Kinetic Energy , 84.2662 , Total Energy , -102.667, Delta Energy , -3.4025e-05, Time , 85
Potential Energy , -186.907 , Kinetic Energy , 84.2406 , Total Energy , -102.667, Delta Energy , -3.33447e-05, Time , 85.5
Potential Energy , -186.882 , Kinetic Energy , 84.2149 , Total Energy , -102.667, Delta Energy , -3.28052e-05, Time , 86
Potential Energy , -186.856 , Kinetic Energy , 84.189 , Total Energy , -102.667, Delta Energy , -3.24124e-05, Time , 86.5
Potential Energy , -186.83 , Kinetic Energy , 84.1629 , Total Energy , -102.667, Delta Energy , -3.21695e-05, Time , 87
Potential Energy , -186.803 , Kinetic Energy , 84.1366 , Total Energy , -102.667, Delta Energy , -3.20778e-05, Time , 87.5
Potential Energy , -186.777 , Kinetic Energy , 84.1101 , Total Energy , -102.667, Delta Energy , -3.21363e-05, Time , 88
Potential Energy , -186.75 , Kinetic Energy , 84.0835 , Total Energy , -102.667, Delta Energy , -3.2342e-05, Time , 88.5
Potential Energy , -186.723 , Kinetic Energy , 84.0566 , Total Energy , -102.667, Delta Energy , -3.26904e-05, Time , 89
Potential Energy , -186.696 , Kinetic Energy , 84.0296 , Total Energy , -102.667, Delta Energy , -3.31752e-05, Time , 89.5
Potential Energy , -186.669 , Kinetic Energy , 84.0025 , Total Energy , -102.667, Delta Energy , -3.37891e-05, Time , 90
Potential Energy , -186.642 , Kinetic Energy , 83.9751 , Total Energy , -102.667, Delta Energy , -3.45238e-05, Time , 90.5
Potential Energy , -186.614 , Kinetic Energy , 83.9476 , Total Energy , -102.667, Delta Energy , -3.53704e-05, Time , 91
Potential Energy , -186.587 , Kinetic Energy , 83.9199 , Total Energy , -102.667, Delta Energy , -3.63195e-05, Time , 91.5
Potential Energy , -186.559 , Kinetic Energy , 83.8921 , Total Energy , -102.667, Delta Energy , -3.73618e-05, Time , 92
Potential Energy , -186.531 , Kinetic Energy , 83.8641 , Total Energy , -102.667, Delta Energy , -3.84876e-05, Time , 92.5
Potential Energy , -186.503 , Kinetic Energy , 83.836 , Total Energy , -102.667, Delta Energy , -3.96876e-05, Time , 93
Potential Energy , -186.475 , Kinetic Energy , 83.8078 , Total Energy , -102.667, Delta Energy , -4.09526e-05, Time , 93.5
Potential Energy , -186.446 , Kinetic Energy , 83.7794 , Total Energy , -102.667, Delta Energy , -4.22737e-05, Time , 94
Potential Energy , -186.418 , Kinetic Energy , 83.7509 , Total Energy , -102.667, Delta Energy , -4.36423e-05, Time , 94.5
Potential Energy , -186.389 , Kinetic Energy , 83.7223 , Total Energy , -102.667, Delta Energy , -4.50503e-05, Time , 95
Potential Energy , -186.36 , Kinetic Energy , 83.6936 , Total Energy , -102.667, Delta Energy , -4.64897e-05, Time , 95.5
Potential Energy , -186.332 , Kinetic Energy , 83.6648 , Total Energy , -102.667, Delta Energy , -4.79531e-05, Time , 96
Potential Energy , -186.303 , Kinetic Energy , 83.636 , Total Energy , -102.667, Delta Energy , -4.94334e-05, Time , 96.5
Potential Energy , -186.274 , Kinetic Energy , 83.607 , Total Energy , -102.667, Delta Energy , -5.09238e-05, Time , 97
Potential Energy , -186.245 , Kinetic Energy , 83.578 , Total Energy , -102.667, Delta Energy , -5.2418e-05, Time , 97.5
Potential Energy , -186.216 , Kinetic Energy , 83.5489 , Total Energy , -102.667, Delta Energy , -5.391e-05, Time , 98
Potential Energy , -186.186 , Kinetic Energy , 83.5197 , Total Energy , -102.667, Delta Energy , -5.53944e-05, Time , 98.5
Potential Energy , -186.157 , Kinetic Energy , 83.4905 , Total Energy , -102.667, Delta Energy , -5.68659e-05, Time , 99
Potential Energy , -186.128 , Kinetic Energy , 83.4613 , Total Energy , -102.667, Delta Energy , -5.832e-05, Time , 99.5
Potential Energy , -186.099 , Kinetic Energy , 83.432 , Total Energy , -102.667, Delta Energy , -5.97524e-05, Time , 100
Potential Energy , -186.069 , Kinetic Energy , 83.4028 , Total Energy , -102.667, Delta Energy , -6.11592e-05, Time , 100.5
Potential Energy , -186.04 , Kinetic Energy , 83.3734 , Total Energy , -102.667, Delta Energy , -6.25373e-05, Time , 101
Potential Energy , -186.011 , Kinetic Energy , 83.3441 , Total Energy , -102.667, Delta Energy , -6.38838e-05, Time , 101.5
Potential Energy , -185.982 , Kinetic Energy , 83.3148 , Total Energy , -102.667, Delta Energy , -6.51963e-05, Time , 102
Potential Energy , -185.952 , Kinetic Energy , 83.2855 , Total Energy , -102.667, Delta Energy , -6.64727e-05, Time , 102.5
Potential Energy , -185.923 , Kinetic Energy , 83.2561 , Total Energy , -102.667, Delta Energy , -6.77116e-05, Time , 103
Potential Energy , -185.894 , Kinetic Energy , 83.2268 , Total Energy , -102.667, Delta Energy , -6.89118e-05, Time , 103.5
Potential Energy , -185.864 , Kinetic Energy , 83.1976 , Total Energy , -102.667, Delta Energy , -7.00724e-05, Time , 104
Potential Energy , -185.835 , Kinetic Energy , 83.1683 , Total Energy , -102.667, Delta Energy , -7.11931e-05, Time , 104.5
Potential Energy , -185.806 , Kinetic Energy , 83.1391 , Total Energy , -102.667, Delta Energy , -7.22736e-05, Time , 105
Potential Energy , -185.777 , Kinetic Energy , 83.1099 , Total Energy , -102.667, Delta Energy , -7.3314e-05, Time , 105.5
Potential Energy , -185.747 , Kinetic Energy , 83.0807 , Total Energy , -102.667, Delta Energy , -7.43147e-05, Time , 106
Potential Energy , -185.718 , Kinetic Energy , 83.0516 , Total Energy , -102.667, Delta Energy , -7.52762e-05, Time , 106.5
Potential Energy , -185.689 , Kinetic Energy , 83.0225 , Total Energy , -102.667, Delta Energy , -7.61991e-05, Time , 107
Potential Energy , -185.66 , Kinetic Energy , 82.9935 , Total Energy , -102.667, Delta Energy , -7.70844e-05, Time , 107.5
Potential Energy , -185.631 , Kinetic Energy , 82.9646 , Total Energy , -102.667, Delta Energy , -7.79328e-05, Time , 108
Potential Energy , -185.602 , Kinetic Energy , 82.9357 , Total Energy , -102.667, Delta Energy , -7.87456e-05, Time , 108.5
Potential Energy , -185.574 , Kinetic Energy , 82.9069 , Total Energy , -102.667, Delta Energy , -7.95237e-05, Time , 109
Potential Energy , -185.545 , Kinetic Energy , 82.8781 , Total Energy , -102.667, Delta Energy , -8.02682e-05, Time , 109.5
Potential Energy , -185.516 , Kinetic Energy , 82.8494 , Total Energy , -102.667, Delta Energy , -8.09805e-05, Time , 110
Potential Energy , -185.488 , Kinetic Energy , 82.8208 , Total Energy , -102.667, Delta Energy , -8.16615e-05, Time , 110.5
